timestamp [s];actual_current [A];target_current [A];timestep [us];motor_torque [N.m];encoder_paddle_pos [deg];speed estimate [deg/s];speed estimate hall [deg/s];acc estimate [deg/s^2];acc estimate hall [deg/s^2];hall_voltage [V];est angle hall [deg];filtered hall speed [deg/s];filtered hall acc [deg/s^2];cutoff freq [Hz];stiffness [N.m/deg];damping [N.m/deg];rest position [deg];ref_pos [deg];k_p;k_d;k_i;set PID 0/1;error;integral;derivative;led_0 [0.0-1.0];led_1 [0.0-1.0];led_2 [0.0-1.0];led_3 [0.0-1.0]
52.14405;-0.0005725201918;0;350;0;-2.126953125;0;0;0;-121042.6953;2.532745361;0.09158325195;1.208991885;400.6982422;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
52.1451;-0.0005725201918;0;350;0;-2.126953125;0;0;0;-121042.6953;2.532745361;0.09158325195;1.208991885;400.6982422;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
52.14615;-0.0005725201918;0;350;0;-2.12109375;0;0;0;-121042.6953;2.532745361;0.09158325195;1.208991885;400.6982422;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
52.1472;-0.0005725201918;0;350;0;-2.12109375;0;0;0;-121042.6953;2.532745361;0.09158325195;1.208991885;400.6982422;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
52.14825;-0.0005725201918;0;350;0;-2.12109375;0;0;0;-121042.6953;2.532745361;0.09158325195;1.208991885;400.6982422;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
52.14895;-0.0005725201918;0;350;0;-2.12109375;0;0;0;-121042.6953;2.532745361;0.09158325195;1.208991885;400.6982422;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
52.15;-0.0005725201918;0;350;0;-2.12109375;0;0;0;-121042.6953;2.532745361;0.09158325195;1.208991885;400.6982422;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
52.15105;-0.0005725201918;0;350;0;-2.12109375;0;0;0;-121042.6953;2.532745361;0.09158325195;1.208991885;400.6982422;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
52.1521;-0.0005725201918;0;350;0;-2.115234375;0;0;0;-121042.6953;2.532745361;0.09158325195;1.208991885;400.6982422;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
52.15315;-0.0005725201918;0;350;0;-2.115234375;0;0;0;-121042.6953;2.532745361;0.09158325195;1.208991885;400.6982422;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
52.1542;-0.0005725201918;0;350;0;-2.115234375;0;0;0;-121042.6953;2.532745361;0.09158325195;1.208991885;400.6982422;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
52.1549;-0.0005725201918;0;350;0;-2.12109375;0;0;0;-121042.6953;2.532745361;0.09158325195;1.208991885;400.6982422;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
52.15595;-0.0005725201918;0;350;0;-2.138671875;0;0;0;-121042.6953;2.532745361;0.09158325195;1.208991885;400.6982422;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
52.157;-0.0005725201918;0;350;0;-2.15625;0;0;0;-121042.6953;2.532745361;0.09158325195;1.208991885;400.6982422;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
52.15805;-0.0005725201918;0;350;0;-2.1796875;0;0;0;-121042.6953;2.532745361;0.09158325195;1.208991885;400.6982422;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
52.1591;-0.0005725201918;0;350;0;-2.197265625;0;0;0;-121042.6953;2.532745361;0.09158325195;1.208991885;400.6982422;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
52.16015;-0.0005725201918;0;350;0;-2.21484375;0;0;0;-121042.6953;2.532745361;0.09158325195;1.208991885;400.6982422;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
52.1612;-0.0005725201918;0;350;0;-2.2265625;0;0;0;-121042.6953;2.532745361;0.09158325195;1.208991885;400.6982422;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
52.1619;-0.0005725201918;0;350;0;-2.2265625;0;0;0;-121042.6953;2.532745361;0.09158325195;1.208991885;400.6982422;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
52.16295;-0.0005725201918;0;350;0;-2.244140625;0;0;0;-121042.6953;2.532745361;0.09158325195;1.208991885;400.6982422;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
52.164;-0.0005725201918;0;350;0;-2.26171875;0;0;0;-121042.6953;2.532745361;0.09158325195;1.208991885;400.6982422;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
52.16505;-0.0005725201918;0;350;0;-2.2734375;0;0;0;-121042.6953;2.532745361;0.09158325195;1.208991885;400.6982422;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
52.1661;-0.0005725201918;0;350;0;-2.296875;0;0;0;-121042.6953;2.532745361;0.09158325195;1.208991885;400.6982422;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
52.16715;-0.0005725201918;0;350;0;-2.296875;0;0;0;-121042.6953;2.532745361;0.09158325195;1.208991885;400.6982422;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
52.1682;-0.0005725201918;0;350;0;-2.302734375;0;0;0;-121042.6953;2.532745361;0.09158325195;1.208991885;400.6982422;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
52.1689;-0.0005725201918;0;350;0;-2.302734375;0;0;0;-121042.6953;2.532745361;0.09158325195;1.208991885;400.6982422;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
52.16995;-0.0005725201918;0;350;0;-2.302734375;0;0;0;-121042.6953;2.532745361;0.09158325195;1.208991885;400.6982422;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
52.171;-0.0005725201918;0;350;0;-2.302734375;0;0;0;-121042.6953;2.532745361;0.09158325195;1.208991885;400.6982422;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
52.17205;-0.0005725201918;0;350;0;-2.302734375;0;0;0;-121042.6953;2.532745361;0.09158325195;1.208991885;400.6982422;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
52.1731;-0.0005725201918;0;350;0;-2.296875;0;0;0;-121042.6953;2.532745361;0.09158325195;1.208991885;400.6982422;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
52.17415;-0.0005725201918;0;350;0;-2.296875;0;0;0;-121042.6953;2.532745361;0.09158325195;1.208991885;400.6982422;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
52.1752;-0.0005725201918;0;350;0;-2.30859375;0;0;0;-121042.6953;2.532745361;0.09158325195;1.208991885;400.6982422;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
52.1759;-0.0005725201918;0;350;0;-2.30859375;0;0;0;-121042.6953;2.532745361;0.09158325195;1.208991885;400.6982422;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
52.17695;-0.0005725201918;0;350;0;-2.30859375;0;0;0;-121042.6953;2.532745361;0.09158325195;1.208991885;400.6982422;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
52.178;-0.0005725201918;0;350;0;-2.30859375;0;0;0;-121042.6953;2.532745361;0.09158325195;1.208991885;400.6982422;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
52.17905;-0.0005725201918;0;350;0;-2.302734375;0;0;0;-121042.6953;2.532745361;0.09158325195;1.208991885;400.6982422;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
52.1801;-0.0005725201918;0;350;0;-2.302734375;0;0;0;-121042.6953;2.532745361;0.09158325195;1.208991885;400.6982422;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
52.18115;-0.0005725201918;0;350;0;-2.302734375;0;0;0;-121042.6953;2.532745361;0.09158325195;1.208991885;400.6982422;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
52.18185;-0.0005725201918;0;350;0;-2.302734375;0;0;0;-121042.6953;2.532745361;0.09158325195;1.208991885;400.6982422;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
52.1829;-0.0005725201918;0;350;0;-2.267578125;0;0;0;-121042.6953;2.532745361;0.09158325195;1.208991885;400.6982422;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
52.18395;-0.0005725201918;0;350;0;-2.23828125;0;0;0;-121042.6953;2.532745361;0.09158325195;1.208991885;400.6982422;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
52.185;-0.0005725201918;0;350;0;-2.203125;0;0;0;-121042.6953;2.532745361;0.09158325195;1.208991885;400.6982422;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
52.18605;-0.0005725201918;0;350;0;-2.1796875;0;0;0;-121042.6953;2.532745361;0.09158325195;1.208991885;400.6982422;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
52.1871;-0.0005725201918;0;350;0;-2.162109375;0;0;0;-121042.6953;2.532745361;0.09158325195;1.208991885;400.6982422;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
52.18815;-0.0005725201918;0;350;0;-2.150390625;0;0;0;-121042.6953;2.532745361;0.09158325195;1.208991885;400.6982422;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
52.18885;-0.0005725201918;0;350;0;-2.138671875;0;0;0;-121042.6953;2.532745361;0.09158325195;1.208991885;400.6982422;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
52.1899;-0.0005725201918;0;350;0;-2.126953125;0;0;0;-121042.6953;2.532745361;0.09158325195;1.208991885;400.6982422;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
52.19095;-0.0005725201918;0;350;0;-2.12109375;0;0;0;-121042.6953;2.532745361;0.09158325195;1.208991885;400.6982422;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
52.192;-0.0005725201918;0;350;0;-2.109375;0;0;0;-121042.6953;2.532745361;0.09158325195;1.208991885;400.6982422;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
52.19305;-0.0005725201918;0;350;0;-2.109375;0;0;0;-121042.6953;2.532745361;0.09158325195;1.208991885;400.6982422;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
52.1941;-0.0005725201918;0;350;0;-2.103515625;0;0;0;-121042.6953;2.532745361;0.09158325195;1.208991885;400.6982422;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
52.19515;-0.0005725201918;0;350;0;-2.103515625;0;0;0;-121042.6953;2.532745361;0.09158325195;1.208991885;400.6982422;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
52.19585;-0.0005725201918;0;350;0;-2.103515625;0;0;0;-121042.6953;2.532745361;0.09158325195;1.208991885;400.6982422;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
52.1969;-0.0005725201918;0;350;0;-2.103515625;0;0;0;-121042.6953;2.532745361;0.09158325195;1.208991885;400.6982422;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
52.19795;-0.0005725201918;0;350;0;-2.103515625;0;0;0;-121042.6953;2.532745361;0.09158325195;1.208991885;400.6982422;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
52.199;-0.0005725201918;0;350;0;-2.091796875;0;0;0;-121042.6953;2.532745361;0.09158325195;1.208991885;400.6982422;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
52.20005;-0.0005725201918;0;350;0;-2.080078125;0;0;0;-121042.6953;2.532745361;0.09158325195;1.208991885;400.6982422;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
52.2011;-0.0005725201918;0;350;0;-2.080078125;0;0;0;-121042.6953;2.532745361;0.09158325195;1.208991885;400.6982422;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
52.20215;-0.0005725201918;0;350;0;-2.07421875;0;0;0;-121042.6953;2.532745361;0.09158325195;1.208991885;400.6982422;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
52.20285;-0.0005725201918;0;350;0;-2.07421875;0;0;0;-121042.6953;2.532745361;0.09158325195;1.208991885;400.6982422;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
52.2039;-0.0005725201918;0;350;0;-2.080078125;0;0;0;-121042.6953;2.532745361;0.09158325195;1.208991885;400.6982422;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
52.20495;-0.0005725201918;0;350;0;-2.080078125;0;0;0;-121042.6953;2.532745361;0.09158325195;1.208991885;400.6982422;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
52.206;-0.0005725201918;0;350;0;-2.0625;0;0;0;-121042.6953;2.532745361;0.09158325195;1.208991885;400.6982422;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
52.20705;-0.0005725201918;0;350;0;-2.05078125;0;0;0;-121042.6953;2.532745361;0.09158325195;1.208991885;400.6982422;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
52.2081;-0.0005725201918;0;350;0;-2.044921875;0;0;0;-121042.6953;2.532745361;0.09158325195;1.208991885;400.6982422;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
52.2088;-0.0005725201918;0;350;0;-2.05078125;0;0;0;-121042.6953;2.532745361;0.09158325195;1.208991885;400.6982422;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
52.20985;-0.0005725201918;0;350;0;-2.0859375;0;0;0;-121042.6953;2.532745361;0.09158325195;1.208991885;400.6982422;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
52.2109;-0.0005725201918;0;350;0;-2.115234375;0;0;0;-121042.6953;2.532745361;0.09158325195;1.208991885;400.6982422;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
52.21195;-0.0005725201918;0;350;0;-2.150390625;0;0;0;-121042.6953;2.532745361;0.09158325195;1.208991885;400.6982422;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
52.213;-0.0005725201918;0;350;0;-2.15625;0;0;0;-121042.6953;2.532745361;0.09158325195;1.208991885;400.6982422;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
52.21405;-0.0005725201918;0;350;0;-2.162109375;0;0;0;-121042.6953;2.532745361;0.09158325195;1.208991885;400.6982422;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
52.2151;-0.0005725201918;0;350;0;-2.162109375;0;0;0;-121042.6953;2.532745361;0.09158325195;1.208991885;400.6982422;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
52.2158;-0.0005725201918;0;350;0;-2.15625;0;0;0;-121042.6953;2.532745361;0.09158325195;1.208991885;400.6982422;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
52.21685;-0.0005725201918;0;350;0;-2.138671875;0;0;0;-121042.6953;2.532745361;0.09158325195;1.208991885;400.6982422;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
52.2179;-0.0005725201918;0;350;0;-2.115234375;0;0;0;-121042.6953;2.532745361;0.09158325195;1.208991885;400.6982422;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
52.21895;-0.0005725201918;0;350;0;-2.091796875;0;0;0;-121042.6953;2.532745361;0.09158325195;1.208991885;400.6982422;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
52.22;-0.0005725201918;0;350;0;-2.07421875;0;0;0;-121042.6953;2.532745361;0.09158325195;1.208991885;400.6982422;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
52.22105;-0.0005725201918;0;350;0;-2.07421875;0;0;0;-121042.6953;2.532745361;0.09158325195;1.208991885;400.6982422;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
52.2221;-0.0005725201918;0;350;0;-2.0625;0;0;0;-121042.6953;2.532745361;0.09158325195;1.208991885;400.6982422;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
52.2228;-0.0005725201918;0;350;0;-2.0625;0;0;0;-121042.6953;2.532745361;0.09158325195;1.208991885;400.6982422;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
52.22385;-0.0005725201918;0;350;0;-2.0625;0;0;0;-121042.6953;2.532745361;0.09158325195;1.208991885;400.6982422;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
52.2249;-0.0005725201918;0;350;0;-2.0625;0;0;0;-121042.6953;2.532745361;0.09158325195;1.208991885;400.6982422;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
52.22595;-0.0005725201918;0;350;0;-2.0625;0;0;0;-121042.6953;2.532745361;0.09158325195;1.208991885;400.6982422;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
52.227;-0.0005725201918;0;350;0;-2.0625;0;0;0;-121042.6953;2.532745361;0.09158325195;1.208991885;400.6982422;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
52.22805;-0.0005725201918;0;350;0;-2.0625;0;0;0;-121042.6953;2.532745361;0.09158325195;1.208991885;400.6982422;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
52.2291;-0.0005725201918;0;350;0;-2.0625;0;0;0;-121042.6953;2.532745361;0.09158325195;1.208991885;400.6982422;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
52.2298;-0.0005725201918;0;350;0;-2.0625;0;0;0;-121042.6953;2.532745361;0.09158325195;1.208991885;400.6982422;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
52.23085;-0.0005725201918;0;350;0;-2.0625;0;0;0;-121042.6953;2.532745361;0.09158325195;1.208991885;400.6982422;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
52.2319;-0.0005725201918;0;350;0;-2.0625;0;0;0;-121042.6953;2.532745361;0.09158325195;1.208991885;400.6982422;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
52.23295;-0.0005725201918;0;350;0;-2.0625;0;0;0;-121042.6953;2.532745361;0.09158325195;1.208991885;400.6982422;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
52.234;-0.0005725201918;0;350;0;-2.068359375;0;0;0;-121042.6953;2.532745361;0.09158325195;1.208991885;400.6982422;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
52.23505;-0.0005725201918;0;350;0;-2.068359375;0;0;0;-121042.6953;2.532745361;0.09158325195;1.208991885;400.6982422;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
52.23575;-0.0005725201918;0;350;0;-2.068359375;0;0;0;-121042.6953;2.532745361;0.09158325195;1.208991885;400.6982422;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
52.2368;-0.0005725201918;0;350;0;-2.07421875;0;0;0;-121042.6953;2.532745361;0.09158325195;1.208991885;400.6982422;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
52.23785;-0.0005725201918;0;350;0;-2.068359375;0;0;0;-121042.6953;2.532745361;0.09158325195;1.208991885;400.6982422;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
52.2389;-0.0005725201918;0;350;0;-2.056640625;0;0;0;-121042.6953;2.532745361;0.09158325195;1.208991885;400.6982422;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
52.23995;-0.0005725201918;0;350;0;-2.056640625;0;0;0;-121042.6953;2.532745361;0.09158325195;1.208991885;400.6982422;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
52.241;-0.0005725201918;0;350;0;-2.05078125;0;0;0;-121042.6953;2.532745361;0.09158325195;1.208991885;400.6982422;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
52.24205;-0.0005725201918;0;350;0;-2.0390625;0;0;0;-121042.6953;2.532745361;0.09158325195;1.208991885;400.6982422;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
52.24275;-0.0005725201918;0;350;0;-2.0390625;0;0;0;-121042.6953;2.532745361;0.09158325195;1.208991885;400.6982422;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
52.2438;-0.0005725201918;0;350;0;-2.021484375;0;0;0;-121042.6953;2.532745361;0.09158325195;1.208991885;400.6982422;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
52.24485;-0.0005725201918;0;350;0;-2.015625;0;0;0;-121042.6953;2.532745361;0.09158325195;1.208991885;400.6982422;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
52.2459;-0.0005725201918;0;350;0;-2.009765625;0;0;0;-121042.6953;2.532745361;0.09158325195;1.208991885;400.6982422;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
52.24695;-0.0005725201918;0;350;0;-2.00390625;0;0;0;-121042.6953;2.532745361;0.09158325195;1.208991885;400.6982422;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
52.248;-0.0005725201918;0;350;0;-1.998046875;0;0;0;-121042.6953;2.532745361;0.09158325195;1.208991885;400.6982422;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
52.24905;-0.0005725201918;0;350;0;-1.998046875;0;0;0;-121042.6953;2.532745361;0.09158325195;1.208991885;400.6982422;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
52.24975;-0.0005725201918;0;350;0;-2.00390625;0;0;0;-121042.6953;2.532745361;0.09158325195;1.208991885;400.6982422;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
52.2508;-0.0005725201918;0;350;0;-2.015625;0;0;0;-121042.6953;2.532745361;0.09158325195;1.208991885;400.6982422;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
52.25185;-0.0005725201918;0;350;0;-2.033203125;0;0;0;-121042.6953;2.532745361;0.09158325195;1.208991885;400.6982422;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
52.2529;-0.0005725201918;0;350;0;-2.0390625;0;0;0;-121042.6953;2.532745361;0.09158325195;1.208991885;400.6982422;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
52.25395;-0.0005725201918;0;350;0;-2.044921875;0;0;0;-121042.6953;2.532745361;0.09158325195;1.208991885;400.6982422;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
52.255;-0.0005725201918;0;350;0;-2.056640625;0;0;0;-121042.6953;2.532745361;0.09158325195;1.208991885;400.6982422;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
